src_ip,dst_ip,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.140.35.74,10.194.17.1,54605.0,53.0,17.0,0.0,1.0,0.0,75.0,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.140.35.74,216.58.208.99,64975.0,443.0,6.0,19972.08595275879,6.0,0.0,519.0,0.0,136.0,54.0,86.5,27.849296819369307,0.0,0.0,0.0,0.0,25986.26909716005,300.4192959209254,3994.417190551758,5839.045483048817,15375.137329101562,24.08027648925781,19972.08595275879,3994.417190551758,5839.045483048817,15375.137329101562,24.08027648925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,300.4192959209254,0.0,54.0,136.0,86.5,27.849296819369307,775.5833333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,86.5,0.0,195.0,4.0,9763.627117430076,0.0,0.0,0.0,6.0,519.0,0.0,0.0,4096.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.194.17.1,10.140.35.74,53.0,5901.0,17.0,0.0,1.0,0.0,91.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.194.17.1,10.140.35.74,53.0,54605.0,17.0,0.0,1.0,0.0,125.0,0.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.140.35.74,142.250.179.142,65033.0,443.0,6.0,62101.84097290039,13.0,0.0,2074.0,0.0,641.0,54.0,159.53846153846155,174.39328470867017,0.0,0.0,0.0,0.0,33396.75551494583,209.33356880149267,5175.153414408366,7132.036699601744,21718.02520751953,36.95487976074219,62101.84097290039,5175.153414408366,7132.036699601744,21718.02520751953,36.95487976074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,209.33356880149267,0.0,54.0,641.0,159.53846153846155,174.39328470867017,30413.01775147929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.53846153846155,159.53846153846155,0.0,1348.0,7.0,28776.36067142377,0.0,0.0,0.0,13.0,2074.0,0.0,0.0,65535.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.58.208.99,10.140.35.74,443.0,64975.0,6.0,22242.06924438477,6.0,0.0,575.0,0.0,149.0,56.0,95.83333333333331,34.28029884480135,0.0,0.0,0.0,0.0,25851.911244506377,269.7590738557187,4448.413848876953,6557.499946212706,17302.989959716797,0.95367431640625,22242.06924438477,4448.413848876953,6557.499946212706,17302.989959716797,0.95367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,269.7590738557187,0.0,56.0,149.0,95.83333333333331,34.28029884480135,1175.138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83333333333331,95.83333333333331,0.0,251.0,6.0,11284.921256297566,0.0,0.0,0.0,6.0,575.0,0.0,0.0,280.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.250.179.142,10.140.35.74,443.0,65033.0,6.0,64173.93684387207,12.0,0.0,2257.0,0.0,652.0,56.0,188.08333333333331,200.45883132343047,0.0,0.0,0.0,0.0,35170.04115691119,186.99180056842457,5833.994258533825,6977.64278194376,18501.04331970215,0.0,64173.93684387207,5833.994258533825,6977.64278194376,18501.04331970215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,186.99180056842457,0.0,56.0,652.0,188.08333333333331,200.45883132343047,40183.74305555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.08333333333331,188.08333333333331,0.0,1597.0,11.0,34966.03514193542,0.0,0.0,0.0,12.0,2257.0,0.0,0.0,65535.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.140.35.74,35.186.224.47,64373.0,443.0,6.0,92975492.00057983,6.0,0.0,429.0,0.0,89.0,54.0,71.5,17.5,0.0,0.0,0.0,0.0,4.614119170214496,0.0645331352477552,18595098.400115967,15160206.727218976,31010187.14904785,26602.02980041504,92975492.00057983,18595098.400115967,15160206.727218976,31010187.14904785,26602.02980041504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0645331352477552,0.0,54.0,89.0,71.5,17.5,306.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,429.0,0.0,0.0,4095.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,15502867.460250854,15449829.33998108,30952696.800231934,53038.12026977539
10.140.35.74,10.194.17.1,60040.0,53.0,17.0,0.0,1.0,0.0,87.0,0.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.140.35.74,10.194.17.1,52641.0,53.0,17.0,0.0,1.0,0.0,87.0,0.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
